index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_abstractions,SPACER_num_abstractions_failed,SPACER_num_abstractions_success,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0159.smt2,,,,17,,,27,27,,,,,285,,1925,,149,4292,19,750,,,,,,,188,1144,730,,,,,,,,500.00,342.48,sat,87.50,2.12,0.32,1.28,0.17,0.49,80.62,71.41,,0.46,0.00,0.00,0.12,87.08,13.10,73.89,0.47,2.41,59.63,0.00,,0.00,
chc-lia-0160.smt2,,,,20,4,1,41,41,,58,35,,124,3,1179,7,247,4513,61,751,,48,184,,,,473,2466,1124,47,37,35,,53,5,1,478.60,308.98,sat,39.66,2.27,0.27,1.11,0.21,0.79,32.67,24.91,0.06,0.29,0.00,0.00,0.17,39.21,6.73,32.30,0.75,1.92,16.49,0.67,0.00,0.67,0.81
chc-lia-0161.smt2,,,,13,,1,36,36,,,,,85,33,958,,130,4588,3,600,,,,,,,92,1984,569,,,,,,,,393.72,252.96,sat,22.92,2.35,0.22,1.16,0.15,0.90,18.03,13.47,,0.19,0.00,0.00,0.08,22.70,6.76,15.81,0.30,0.99,8.59,0.30,0.00,0.30,
chc-lia-0162.smt2,,,26,19,1,1,33,33,,,,,79,6,429,,50,1233,9,341,,,,,,,49,483,312,,,,,,,,173.36,111.36,sat,5.06,0.59,0.07,0.29,0.05,0.19,3.58,2.23,0.41,0.03,0.00,0.00,0.04,4.98,0.74,4.12,0.13,0.28,2.20,0.03,0.00,0.03,
chc-lia-0163.smt2,,556,,,8,1,36,35,,1289,1270,,1105,,2431,,4,10384,7,2119,,137,242,103,,,1620,3363,2871,1292,521,1275,,140,1339,,435.75,413.33,timeout,597.32,27.53,2.37,11.25,1.26,13.57,392.52,324.47,,3.82,0.00,0.00,0.70,444.45,114.75,329.57,3.56,7.66,104.23,40.47,0.00,40.47,36.86
chc-lia-0164.smt2,,,,25,4,1,59,59,,9,,,109,21,2897,7,222,11223,19,1520,,40,26,,,,225,5859,1691,,36,,,34,,,848.80,570.28,sat,138.79,4.63,0.54,2.59,0.36,1.32,125.45,97.33,,0.57,0.00,0.00,0.28,138.27,33.07,104.97,1.14,4.08,67.84,0.41,0.00,0.41,0.59
chc-lia-0165.smt2,,,,21,4,1,29,29,,6,,,91,,316,6,57,1096,24,288,,15,63,,,,125,424,322,,10,,,9,1,1,146.76,88.74,sat,4.14,0.45,0.06,0.21,0.04,0.15,2.86,2.19,,0.03,0.00,0.00,0.04,4.07,0.68,3.28,0.13,0.27,1.58,0.06,0.00,0.06,0.02
chc-lia-0166.smt2,,,,20,8,3,48,48,7,50,33,,163,10,2072,54,268,7560,104,1022,,132,389,32,,,590,3601,1308,86,85,65,7,50,28,,761.24,495.07,sat,79.51,3.20,0.46,1.55,0.29,1.14,68.18,53.07,0.06,0.56,0.00,0.00,0.20,78.95,19.59,59.15,0.92,3.88,31.65,2.54,0.00,2.54,1.56
chc-lia-0167.smt2,,,,32,3,1,42,42,,19,,9,101,21,681,9,84,3068,29,523,,19,101,,,,201,1704,581,,10,,,18,10,,283.08,176.65,sat,13.14,1.00,0.13,0.52,0.09,0.30,10.13,7.29,,0.08,0.00,0.00,0.08,12.99,2.95,9.88,0.27,0.75,5.15,0.33,0.00,0.33,0.08
chc-lia-0168.smt2,,80,338,,32,3,64,63,24,593,440,255,616,894,3418,105,3,14200,340,2471,,319,551,133,,15,1740,6373,4509,504,346,483,31,159,1103,8,358.00,336.48,timeout,597.06,17.00,1.80,7.75,1.09,7.15,524.05,384.39,56.73,2.02,0.00,0.00,0.86,575.90,99.31,476.25,4.42,17.19,227.19,55.95,0.00,55.95,17.64
