index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-lin-0194.smt2,1,,,,,,1,1,,1,,,,,,,1,,,,,,,1,,,1,,1,,,,,35.24,10.63,unsat,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,,0.01,,0.00,,,,,
chc-lia-lin-0195.smt2,,,82,1,1,,2,2,,72,4,,,31,151,,133,,,,,,,115,47,130,,,,,,,,358.80,199.37,sat,16.60,0.61,0.20,0.42,0.02,0.12,12.35,1.99,7.29,0.00,0.01,0.01,0.35,13.86,4.03,9.83,0.66,0.13,1.80,0.02,,0.02,
chc-lia-lin-0196.smt2,2,,2,,,,2,2,,14,,,,4,22,,15,,,,,,,15,12,15,2,,1,,,,,115.20,47.85,unsat,0.75,0.01,0.00,0.00,0.00,0.00,0.58,0.16,0.37,,0.01,0.01,0.01,0.63,0.06,0.56,0.02,0.00,0.03,0.00,,0.00,0.10
chc-lia-lin-0197.smt2,,,10,1,1,,2,2,,80,4,,,25,147,,126,,,,,,,124,42,123,,,,,,,,512.24,229.03,sat,136.28,0.22,0.05,0.10,0.01,0.07,134.58,121.60,9.99,0.00,0.01,0.01,0.32,135.65,7.01,128.63,0.62,0.13,49.68,0.02,,0.02,
chc-lia-lin-0198.smt2,,14,,24,12,1,38,38,,170,,1399,,157,5115,6,725,,15,78,,,,146,2014,680,,16,,,,30,,508.20,314.26,sat,63.49,7.42,0.51,4.67,0.30,2.06,51.49,40.23,,0.43,0.00,0.00,0.11,63.12,18.35,44.61,0.64,1.69,25.98,0.68,0.00,0.68,
chc-lia-lin-0199.smt2,,,92,1,1,,2,2,,107,1,,,88,236,,168,,,,,,,130,139,165,,,,,,,,1338.08,811.21,sat,187.92,5.01,1.36,3.42,0.35,0.82,52.64,0.42,24.50,,0.01,0.01,0.30,58.70,9.47,49.23,0.64,0.23,16.24,0.02,,0.02,
chc-lia-lin-0200.smt2,,,,,2,1,37,36,,752,,3743,,,14801,21,2094,,,,,,,398,6563,2062,,,,,,2,,371.04,369.00,timeout,598.59,25.62,1.47,15.96,1.08,7.13,532.80,410.70,,2.72,0.00,0.00,0.37,579.65,174.01,405.51,2.95,11.47,280.65,0.63,0.00,0.63,
chc-lia-lin-0201.smt2,9,,,,2,,9,9,,23,5,23,,11,191,,44,,,,,,,30,112,45,9,,1,,,,,101.04,43.27,unsat,0.34,0.02,0.00,0.01,0.00,0.01,0.18,0.06,,0.00,0.01,0.00,0.01,0.28,0.09,0.16,0.02,0.00,0.01,0.00,,0.00,0.01
chc-lia-lin-0202.smt2,,,,1,,,4,4,,4,,4,,7,9,,16,,,,,,,8,1,11,,,,,,,,121.76,67.57,sat,0.80,0.08,0.01,0.04,0.00,0.04,0.39,0.28,,0.00,0.01,0.01,0.01,0.53,0.11,0.41,0.04,0.00,0.16,0.00,,0.00,
chc-lia-lin-0203.smt2,,,,1,,,5,5,,9,,5,,12,36,,25,,,,,,,11,21,19,,,,,,,,127.16,72.73,sat,1.11,0.11,0.01,0.04,0.00,0.06,0.61,0.40,,0.00,0.01,0.01,0.02,0.83,0.11,0.71,0.08,0.00,0.32,0.00,,0.00,
