index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_num_under_approximations,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0245.smt2,,6,,,12,1,68,67,,692,,4200,,229,19427,12,1569,,19,44,,,,293,9803,1490,,21,,,,,,,389.83,380.04,timeout,599.12,17.44,1.25,10.34,0.69,5.31,549.81,417.70,,3.31,0.00,0.00,0.28,585.06,240.86,343.93,1.92,8.04,240.55,7.93,0.00,7.93,
chc-lia-0246.smt2,4,,10,,,,4,4,,12,,1,,3,27,,19,,,,,,,13,10,19,4,,3,,,,,,98.88,40.56,unsat,0.78,0.04,0.00,0.02,0.00,0.02,0.44,0.03,0.29,0.00,0.01,0.01,0.04,0.61,0.12,0.48,0.08,0.00,0.14,0.00,,0.00,0.02
chc-lia-0247.smt2,,1,,22,1,,38,38,,162,,1343,,161,4965,10,786,,,,,,,97,1966,749,,11,,,,,,,516.96,315.40,sat,71.12,10.16,0.61,6.80,0.36,2.45,56.46,43.87,,0.38,0.00,0.00,0.13,70.73,17.98,52.61,0.71,1.75,30.75,0.05,,0.05,
chc-lia-0248.smt2,,,,2,,,4,4,,14,,2,,8,30,,21,,,,,,,8,12,16,,,,,,,,,118.20,49.85,sat,0.30,0.01,0.00,0.00,0.00,0.01,0.14,0.07,0.01,0.00,0.02,0.01,0.01,0.19,0.03,0.14,0.01,0.00,0.00,0.00,,0.00,
chc-lia-0249.smt2,,,,,1,,37,36,,794,,3929,,,14553,9,2133,,,,,,,390,6111,2101,,,,,,,,,348.54,348.21,timeout,598.37,27.90,1.62,17.39,1.15,7.73,546.44,426.21,,2.90,0.00,0.00,0.40,596.82,182.39,414.30,3.00,12.41,285.35,0.30,,0.30,
chc-lia-0251.smt2,,,,1,,,3,3,,5,,1,,4,9,,10,,,,,,,4,3,6,,,,,,,,,90.68,43.35,sat,0.22,0.01,0.00,0.00,0.00,0.00,0.07,0.03,,0.00,0.01,0.01,0.00,0.10,0.02,0.06,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0252.smt2,,2,,10,3,,11,11,,37,,60,,32,281,,90,,,,,,,54,153,78,,,,,,,,,167.32,83.06,sat,1.14,0.09,0.01,0.03,0.01,0.04,0.58,0.30,,0.00,0.02,0.01,0.04,0.91,0.20,0.67,0.08,0.04,0.12,0.03,,0.03,
chc-lia-0254.smt2,7,,50,,7,1,7,7,,34,,14,,16,178,,56,,,,,,,36,109,56,7,,6,,,,62,,244.32,102.36,unsat,2.73,0.16,0.02,0.07,0.01,0.07,1.85,0.08,1.28,0.00,0.03,0.02,0.09,2.33,0.54,1.77,0.18,0.02,0.26,0.33,0.00,0.33,0.05
chc-lia-0255.smt2,,,,,,,36,35,,829,,5502,,89,21573,5,1295,,,,,,,345,9992,1260,,,,,,,,,411.07,408.42,timeout,598.97,32.74,1.93,20.35,0.93,9.69,538.06,395.60,,4.66,0.01,0.00,0.23,589.12,302.73,286.24,2.30,7.78,196.03,0.02,,0.02,
chc-lia-0256.smt2,,,8,2,,,4,4,,22,,1,,17,40,,33,,,,,,,20,22,29,,,,,,,,,243.72,108.78,sat,1.47,0.16,0.01,0.07,0.01,0.07,0.77,0.32,0.18,0.00,0.04,0.03,0.02,1.01,0.21,0.79,0.05,0.00,0.18,0.00,,0.00,
chc-lia-0258.smt2,,,14,3,,,5,5,,15,,3,,10,58,,25,,,,,,,12,32,19,,,,,,,,,242.92,109.07,sat,1.23,0.04,0.00,0.01,0.00,0.02,0.63,0.02,0.33,0.00,0.05,0.03,0.01,0.73,0.34,0.37,0.03,0.00,0.00,0.00,,0.00,
chc-lia-0259.smt2,,,,1,,,4,4,,17,,8,,14,35,,31,,,,,,,17,9,26,,,,,,,,,312.52,127.71,sat,1.32,0.12,0.01,0.03,0.00,0.07,0.70,0.51,,0.00,0.06,0.04,0.01,0.86,0.19,0.66,0.02,0.00,0.25,0.00,,0.00,
chc-lia-0260.smt2,,,48,5,2,,6,6,,54,8,42,,30,250,,86,,,,,,,54,121,79,,,,,,,,,354.48,142.81,sat,2.24,0.10,0.01,0.04,0.01,0.05,1.46,0.17,0.72,0.00,0.05,0.03,0.03,1.72,0.37,1.33,0.05,0.02,0.04,0.01,,0.01,
chc-lia-0261.smt2,,,47,5,2,,6,6,,53,8,41,,27,236,,82,,,,,,,51,111,75,,,,,,,,,353.56,141.93,sat,2.19,0.10,0.01,0.04,0.01,0.05,1.40,0.18,0.63,0.00,0.05,0.03,0.02,1.65,0.37,1.26,0.05,0.02,0.04,0.01,,0.01,
chc-lia-0262.smt2,,3,,19,16,1,19,19,,46,,135,,22,585,,139,,12,60,2,,,67,327,123,7,13,2,,,,84,,329.44,132.51,sat,2.08,0.14,0.01,0.04,0.01,0.08,1.20,0.73,0.08,0.00,0.05,0.03,0.05,1.74,0.41,1.24,0.12,0.04,0.03,0.21,0.00,0.21,0.03
chc-lia-0263.smt2,,,7436,,6,,123,122,,298,14516,7516,,3,25736,,14946,,,,,,,282,5144,14823,,,,,,,,,1155.19,1140.69,timeout,594.56,21.12,3.87,10.46,1.48,6.03,435.74,38.16,95.80,0.96,0.07,0.05,3.15,577.73,67.07,510.14,10.97,44.99,49.03,49.57,,49.57,
chc-lia-0265.smt2,,,552,13,25,1,14,14,,436,,319,,217,4097,21,674,,6,2,,,,453,2279,657,,2,,,,,172,,3559.96,1083.40,sat,13.40,0.64,0.09,0.23,0.08,0.25,8.43,0.55,4.23,0.01,0.15,0.07,0.26,10.49,3.18,7.24,0.50,0.19,0.61,0.55,0.00,0.55,0.02
chc-lia-0267.smt2,,,,3,,,6,6,,12,,19,,7,38,,29,,,,,,,7,9,22,,,,,,,,,372.84,160.57,sat,1.14,0.03,0.00,0.01,0.00,0.02,0.34,0.15,,0.00,0.08,0.05,0.01,0.42,0.06,0.35,0.02,0.00,0.00,0.00,,0.00,
chc-lia-0268.smt2,11,,22,,10,1,11,11,,25,,9,,,298,,43,,,,,,,25,143,42,11,,2,,,,4,,688.80,259.80,unsat,4.37,0.22,0.02,0.09,0.01,0.11,3.08,0.31,1.98,0.00,0.08,0.06,0.02,3.47,1.42,2.01,0.04,0.02,0.31,0.24,0.00,0.24,0.03
chc-lia-0269.smt2,,884,,18,46,1,34,34,,156,4,1243,,203,3515,79,1204,,73,567,,,,793,1439,1280,,344,,,,8,6749,32,2895.52,1389.56,sat,175.80,4.11,0.62,1.61,0.49,1.66,156.63,122.28,,0.11,0.05,0.04,0.68,171.64,10.21,161.28,1.65,3.23,15.56,95.49,0.00,95.49,0.21
chc-lia-0270.smt2,4,,,,,,4,4,,5,,4,,,11,,11,,,,,,,5,1,10,4,,1,,,,,,396.16,165.18,unsat,1.58,0.00,0.00,0.00,0.00,0.00,0.51,0.31,,0.00,0.07,0.05,0.02,0.57,0.12,0.44,0.02,0.00,0.08,0.00,,0.00,0.01
chc-lia-0271.smt2,,4602,345,131,104,1,137,137,,143,,3698,,143,15590,1,4764,,22,1,,,,150,10304,4641,,4471,,,,1,6534,30,1633.68,1046.25,sat,239.46,7.54,1.00,2.10,0.80,3.82,152.87,86.96,3.85,0.53,0.09,0.07,2.16,238.20,17.13,220.39,5.26,6.50,0.25,134.90,0.01,134.90,0.03
chc-lia-0272.smt2,10,,14,,1,,10,10,,28,,19,,6,244,,52,,,,,,,32,122,51,10,,3,,,,,,458.76,197.15,unsat,2.60,0.02,0.00,0.01,0.00,0.01,1.51,0.84,0.21,0.00,0.05,0.03,0.06,1.77,0.91,0.82,0.13,0.01,0.04,0.01,,0.01,0.03
chc-lia-0273.smt2,10,,679,,14,2,10,10,,732,9,188,15,13,1512,1,899,,21,,,,,833,503,900,10,3,3,3,,,2654,5,3333.36,1211.27,unsat,436.93,23.01,2.07,10.95,0.85,9.87,386.66,11.89,314.26,0.02,0.14,0.10,6.71,430.23,22.91,407.27,15.88,1.94,126.91,152.59,0.00,152.59,1.62
chc-lia-0274.smt2,,,11,2,,,4,4,,14,,3,,8,30,,21,,,,,,,8,12,16,,,,,,,,,633.88,294.23,sat,3.23,0.14,0.01,0.04,0.00,0.08,1.53,0.36,0.64,0.00,0.14,0.11,0.01,1.71,0.40,1.30,0.02,0.00,0.00,0.00,,0.00,
chc-lia-0275.smt2,10,8,413,,61,1,10,10,,294,,91,,37,2090,2,517,,62,30,,,,414,1153,543,10,13,7,,,,837,,3028.68,1015.53,unsat,26.74,1.07,0.14,0.36,0.10,0.51,21.00,4.41,11.30,0.01,0.17,0.12,0.47,24.20,4.51,19.64,0.85,0.36,0.82,2.88,0.00,2.88,1.00
chc-lia-0276.smt2,4,,77,,1,,4,4,,88,,13,,,143,,108,,,,,,,99,45,108,4,,1,,,,,,1318.60,470.33,unsat,14.78,0.23,0.01,0.05,0.01,0.15,11.47,1.39,8.43,0.00,0.14,0.10,0.33,12.56,2.71,9.84,0.71,0.02,1.67,0.01,,0.01,0.17
chc-lia-0277.smt2,,,28,1,,,3,3,,30,,1,,17,33,,37,,,,,,,27,14,33,,,,,,,,,998.88,405.80,sat,9.72,0.33,0.01,0.10,0.01,0.21,6.58,0.02,5.37,0.00,0.14,0.11,0.02,6.97,2.26,4.71,0.03,0.00,1.09,0.00,,0.00,
chc-lia-0278.smt2,,6536,223,,93,2,154,153,,375,,5738,61,103,12826,20,6908,,27,150,,,,627,3898,6871,,6067,,6,,6,10773,4,1025.22,996.40,timeout,596.30,8.96,1.60,4.01,1.49,1.63,434.05,222.33,14.04,0.69,0.21,0.13,5.61,570.31,36.98,532.39,12.79,20.41,2.42,269.67,0.02,269.67,0.13
chc-lia-0279.smt2,,1470,1675,,65,1,68,67,,423,,1602,2,38,13061,7,2042,,69,24,,,,403,5379,1973,,1382,,,,1,14501,22,908.95,883.47,timeout,598.29,26.04,2.74,9.10,1.42,14.15,536.24,28.80,414.11,0.33,0.16,0.13,2.35,592.60,117.80,474.46,4.32,6.71,4.28,317.82,0.00,317.82,1.48
chc-lia-0280.smt2,7,,129,,3,1,7,7,,116,1,27,7,3,406,,151,,7,,,,,149,165,151,7,,5,,,,116,1,1766.08,618.42,unsat,54.52,1.22,0.10,0.47,0.05,0.63,40.53,2.55,32.32,0.00,0.18,0.14,0.81,44.01,8.10,35.89,1.79,0.09,10.96,6.87,0.00,6.87,0.78
chc-lia-0281.smt2,55,2388,653,,56,1,55,55,,3567,1,2510,3,113,22216,7,4978,,13,21,,,,4650,9652,5086,55,148,5,,,1,4395,11,9893.16,3610.09,unsat,516.65,16.32,2.10,6.61,1.69,6.17,407.23,194.19,110.61,1.50,0.18,0.14,14.95,507.75,69.14,438.33,24.17,27.81,141.04,71.58,0.00,71.58,1.99
chc-lia-0282.smt2,,,48,6,,,8,8,,67,,33,,50,508,,95,,,,,,,58,310,86,,,,,,,,,1320.32,519.55,sat,10.77,0.52,0.02,0.10,0.01,0.39,7.82,2.12,4.14,0.00,0.16,0.14,0.07,8.61,2.83,5.75,0.16,0.00,0.54,0.00,,0.00,
chc-lia-0283.smt2,,,4,3,1,,5,5,,10,,4,,9,41,,20,,,,,,,14,19,15,,,,,,,,,1086.64,534.87,sat,16.03,0.83,0.04,0.27,0.01,0.52,9.10,0.09,6.14,0.00,0.21,0.18,0.02,10.01,2.71,7.28,0.04,0.00,3.88,0.00,,0.00,
