index,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_abstractions,SPACER_num_abstractions_failed,SPACER_num_abstractions_success,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_num_under_approximations,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0115.smt2,,2251,,45,5,55,54,7,639,121,89,973,96,4051,489,,16843,33,2303,,604,230,31,,7,1655,5725,3779,155,538,131,31,42,69,378,2,,367.80,timeout,597.36,10.37,1.66,5.62,0.74,3.32,489.64,219.36,175.69,2.68,0.00,0.00,0.64,532.34,145.13,,386.95,3.90,15.87,156.35,37.11,0.01,37.11,27.94
chc-lia-0116.smt2,,,,9,3,49,49,4,56,36,,221,9,2786,75,453,10051,110,1293,,191,621,62,,,1210,4714,2477,137,119,80,7,,107,15,2,1020.88,631.44,sat,201.49,5.79,0.84,2.85,0.39,2.17,179.83,137.94,,1.17,0.00,0.00,0.41,200.27,50.51,,149.54,2.27,7.39,72.67,4.62,0.00,4.62,5.14
chc-lia-0117.smt2,,,,3,1,9,9,,,,,27,1,37,4,43,127,8,80,,3,16,,,,45,40,68,,1,,,,,4,1,84.44,48.30,sat,1.28,0.12,0.04,0.07,0.01,0.03,0.86,0.50,,0.00,0.00,0.00,0.03,1.22,0.10,,1.09,0.07,0.06,0.58,0.03,0.00,0.03,
chc-lia-0118.smt2,,,,3,2,9,9,,,,,27,2,42,3,40,148,11,85,,4,15,2,,,52,50,77,5,1,2,2,,,8,1,115.40,63.87,sat,1.66,0.14,0.05,0.08,0.02,0.03,1.18,0.71,,0.01,0.00,0.00,0.03,1.58,0.15,,1.40,0.07,0.06,0.72,0.08,0.00,0.08,0.03
chc-lia-0119.smt2,,,,3,2,9,9,,,,,27,2,42,3,40,148,11,85,,4,15,2,,,52,50,77,5,1,2,2,,,8,1,115.40,63.87,sat,1.64,0.13,0.05,0.07,0.02,0.03,1.17,0.71,,0.01,0.00,0.00,0.03,1.56,0.15,,1.38,0.07,0.05,0.72,0.08,0.00,0.08,0.03
chc-lia-0120.smt2,,,,4,1,9,9,,1,1,,36,1,49,4,34,160,13,89,,3,17,,,,51,43,77,,1,,,,,6,2,108.28,63.62,sat,1.77,0.14,0.05,0.08,0.02,0.03,1.27,0.78,,0.01,0.00,0.00,0.03,1.70,0.18,,1.48,0.07,0.07,0.82,0.06,0.00,0.06,0.00
chc-lia-0121.smt2,,1294,,42,2,70,69,,15,3,18,888,572,5793,125,,20228,61,2308,,1089,238,254,,,1913,8903,4893,7,1029,6,334,,216,83,4,,363.08,timeout,597.12,8.19,1.30,4.28,0.63,2.66,517.02,283.96,111.35,3.61,0.00,0.00,0.86,571.18,165.50,,405.29,5.32,22.21,95.10,61.76,0.00,61.76,37.71
chc-lia-0122.smt2,,,,9,4,87,86,7,89,6,353,830,28,2587,23,18,16198,376,1803,,108,245,9,,,1226,9843,3176,14,133,9,7,,167,10,,,460.55,timeout,597.66,6.37,1.28,3.47,0.61,1.80,435.31,343.00,0.05,1.68,0.00,0.00,0.60,466.21,117.02,,348.76,3.12,13.94,220.37,4.58,0.00,4.58,5.07
chc-lia-0123.smt2,,157,37,20,2,58,58,,58,20,65,189,35,1280,29,197,7231,83,1065,,82,197,44,,,511,3784,1212,36,56,28,9,,16,35,,705.64,466.06,sat,69.98,3.40,0.48,1.70,0.25,1.20,59.13,38.22,5.89,0.37,0.00,0.00,0.19,69.57,17.28,,51.98,0.80,3.55,26.46,1.85,0.00,1.85,1.14
chc-lia-0124.smt2,,1702,,42,3,69,68,2,724,,68,626,83,2881,262,3,21221,103,1660,,597,117,46,,,1829,11391,4171,45,554,39,69,,190,455,9,,362.48,timeout,597.73,5.59,0.80,2.99,0.47,1.68,494.13,219.78,146.89,1.99,0.00,0.00,0.69,523.05,206.29,,316.40,3.89,8.75,88.32,36.12,0.00,36.12,39.60
