index,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_abstractions,SPACER_num_abstractions_failed,SPACER_num_abstractions_success,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_num_under_approximations,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0284.smt2,73,566,,78,2,13,13,,97,,113,804,118,1240,10,1,8274,,1144,,38,3,,,,1156,3940,1302,13,6,1,4,,22,2215,,16721.92,4772.98,unsat,190.39,4.53,0.42,1.45,0.26,2.48,174.66,12.29,124.63,0.11,0.29,0.16,1.59,187.42,25.80,,161.54,3.50,1.50,26.01,67.47,0.00,67.47,1.33
chc-lia-0285.smt2,,,4,,,6,6,,,,,44,,33,,26,213,,59,,,,,,,42,106,52,,,,,,,,,1476.44,559.07,sat,8.65,0.24,0.01,0.06,0.01,0.16,6.25,4.79,0.14,0.00,0.27,0.21,0.06,6.71,2.03,,4.65,0.14,0.00,0.29,0.00,,0.00,
chc-lia-0286.smt2,,,7,1,,8,8,,2,,7,151,,112,,87,708,,201,,,,,,,177,404,190,,,,,,,,,2130.84,823.00,sat,16.29,0.74,0.06,0.28,0.04,0.37,11.98,2.19,6.61,0.00,0.26,0.21,0.20,13.36,3.59,,9.74,0.43,0.02,0.47,0.00,,0.00,
chc-lia-0287.smt2,,735,,103,2,30,29,,552,,235,454,6,765,81,,6637,1,1349,2,155,41,,,,1009,2538,2247,,614,,2,,135,10548,35,,902.34,timeout,598.15,2.08,0.47,0.94,0.38,0.50,340.03,278.10,52.30,0.08,0.32,0.22,1.16,353.57,273.72,,79.68,2.53,2.93,4.27,42.86,0.00,42.86,1.77
chc-lia-0288.smt2,,821,,52,2,18,17,,158,,133,879,357,1608,63,38,10283,12,1437,,187,46,,,,1426,5908,1540,,137,,9,,5,6834,57,,2222.19,timeout,587.02,7.87,0.98,3.91,0.54,2.69,559.18,41.44,414.27,0.17,0.32,0.23,0.95,583.73,81.28,,502.34,2.26,5.61,80.63,264.68,0.00,264.68,9.44
chc-lia-0290.smt2,271,955,,85,1,17,17,,171,,165,910,464,1842,54,16,9229,5,1562,,208,35,,,,1193,4934,1616,17,213,4,,,9,3769,36,7336.60,2484.37,unsat,500.38,8.12,1.01,3.52,0.51,3.37,471.02,59.85,323.85,0.14,0.31,0.22,1.16,496.27,63.29,,432.86,2.72,5.46,85.97,186.83,0.00,186.83,11.53
chc-lia-0291.smt2,,,13,6,,14,14,,12,,10,733,5,686,,354,8289,3,984,,,,,,,825,4340,966,,,,,,,,,16485.16,4687.75,sat,66.67,1.60,0.17,0.54,0.17,0.72,46.94,8.93,20.99,0.04,0.38,0.21,0.59,51.10,13.14,,37.87,1.14,0.18,1.92,0.06,,0.06,0.07
chc-lia-0292.smt2,,,7,1,,9,9,,2,,10,84,,133,,43,675,2,115,,,,,,,80,330,105,,,,,,,,,1811.28,642.80,sat,4.85,0.14,0.01,0.04,0.01,0.08,2.74,0.61,1.05,0.00,0.21,0.15,0.05,3.14,0.92,,2.18,0.12,0.01,0.06,0.00,,0.00,
chc-lia-0294.smt2,,,2,,,3,3,,,,,46,,1,,35,120,,55,,,,,,,44,100,51,,,,,,,,,1976.52,773.32,sat,17.07,0.42,0.01,0.07,0.01,0.33,11.63,0.00,9.21,0.00,0.27,0.22,0.05,12.21,2.63,,9.57,0.11,0.00,1.29,0.00,,0.00,
chc-lia-0295.smt2,,121,,1,1,5,5,,2,,1,143,1,10,,1,323,,162,,,,,,,159,163,162,5,,3,,,,7,3,3528.60,1185.41,unsat,49.17,1.31,0.07,0.42,0.03,0.79,39.45,0.88,31.71,0.00,0.32,0.25,1.08,44.52,7.81,,36.70,3.39,0.06,7.71,0.60,0.00,0.60,0.24
