index,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_reuse_reach_facts,max_memory,memory,result,time,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
chc-lia-0402.smt2,,,2,2,3,,2,2,,5,2,,2,,,27.76,10.33,sat,0.04,0.01,0.00,,,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,
chc-lia-0403.smt2,,,,1,3,,3,2,1,4,3,2,2,,,17.68,6.60,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,
chc-lia-0404.smt2,,,2,2,6,1,5,9,1,9,5,5,6,,,28.04,10.27,sat,0.05,0.02,0.01,,0.00,0.00,0.00,0.00,0.03,0.00,,0.02,0.00,0.01,
chc-lia-0405.smt2,,,,83,170,7046,,7382,,7056,168,83,6972,,,,184.18,timeout,594.78,551.66,221.33,,0.51,0.00,0.00,3.94,568.92,2.98,,565.69,10.26,186.17,
chc-lia-0406.smt2,,,3,3,9,2,7,22,,13,7,14,9,,,22.16,9.83,sat,0.06,0.02,0.01,,0.00,0.00,0.00,0.00,0.04,0.01,,0.02,0.00,0.00,
chc-lia-0407.smt2,,,3,3,7,2,4,14,,11,5,6,7,,,20.04,8.34,sat,0.04,0.02,0.01,,0.00,0.00,0.00,0.00,0.03,0.01,,0.02,0.00,0.00,
chc-lia-0408.smt2,,,2,2,3,,2,3,1,5,2,1,2,,,16.88,6.36,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,
chc-lia-0409.smt2,,,,155,157,12240,,12397,,12246,156,,12090,,,,169.18,timeout,593.53,557.49,299.34,,0.97,0.00,0.00,6.12,586.94,1.98,,584.50,17.50,199.81,
chc-lia-0410.smt2,,,126,125,355,9982,8,26122,4,6279,495,9072,6177,,,,322.11,timeout,595.68,555.51,121.22,43.05,1.14,0.00,0.00,1.91,568.67,87.22,,480.99,4.84,115.09,
chc-lia-0411.smt2,,,116,115,378,3356,46,17248,7,6749,449,7166,6679,,,,297.66,timeout,596.13,545.12,149.99,26.75,1.16,0.00,0.00,1.97,558.95,74.94,,483.57,5.47,115.12,
chc-lia-0412.smt2,,,3,3,5,3,3,6,,9,3,,5,,,22.36,8.22,sat,0.03,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,
