index,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_abstractions,SPACER_num_abstractions_failed,SPACER_num_abstractions_success,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_num_under_approximations,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0255.smt2,,,,,,,39,,,,,864,,6657,,93,22837,24,1516,,,,,,,388,10221,1476,,,,,,,,,,428.54,timeout,598.33,555.16,389.91,,4.71,0.01,0.00,0.28,575.45,290.23,,285.07,2.72,9.68,215.19,0.00,,0.00,
chc-lia-0256.smt2,,,2,,,4,4,,,,,22,,1,,17,40,,33,,,,,,,20,22,29,,,,,,,,,243.52,108.67,sat,1.39,0.85,0.40,0.15,0.00,0.04,0.03,0.02,0.94,0.28,,0.65,0.06,0.00,0.17,0.00,,0.00,
chc-lia-0258.smt2,,,3,,,5,5,,,,,15,,3,,10,58,,25,,,,,,,12,32,19,,,,,,,,,242.64,108.82,sat,1.16,0.62,0.02,0.33,0.00,0.04,0.03,0.01,0.68,0.34,,0.33,0.03,0.00,0.00,0.00,,0.00,
chc-lia-0259.smt2,,,,,,4,4,,,,,17,,8,,14,35,,31,,,,,,,17,9,26,,,,,,,,,314.40,128.57,sat,1.21,0.70,0.52,,0.00,0.06,0.04,0.01,0.75,0.16,,0.58,0.01,0.00,0.28,0.00,,0.00,
chc-lia-0260.smt2,,,4,2,,5,5,,4,,6,52,5,21,,29,210,,74,,,,,,,54,130,64,,,,,,,,,354.24,142.78,sat,2.11,1.40,0.15,0.66,0.00,0.05,0.03,0.02,1.54,0.37,,1.15,0.05,0.02,0.02,0.01,,0.01,
chc-lia-0261.smt2,,,4,3,,5,5,,5,,8,53,5,19,,29,210,,77,,,,,,,57,129,66,,,,,,,,,354.36,142.76,sat,1.90,1.21,0.16,0.49,0.00,0.06,0.04,0.02,1.35,0.38,,0.96,0.05,0.02,0.02,0.01,,0.01,
chc-lia-0262.smt2,,,,2,,6,6,,3,,10,26,,19,,14,98,,43,,,,,,,22,45,34,,,,,,,,,265.52,107.52,sat,0.90,0.51,0.23,0.10,0.00,0.05,0.03,0.01,0.59,0.19,,0.38,0.03,0.00,0.00,0.00,,0.00,
chc-lia-0263.smt2,,,,6,1,128,127,,4,,6,284,15746,8371,,1,21945,,16172,,,,,,,286,2558,16041,,,,,,,64,,,840.07,timeout,592.64,466.08,41.70,100.61,0.99,0.08,0.05,3.43,580.43,63.88,,515.92,11.80,40.08,45.45,46.58,0.00,46.58,0.00
chc-lia-0265.smt2,,,13,21,1,14,14,,42,,18,412,,311,,200,4035,6,653,,7,3,1,,,510,2284,636,3,2,1,,,1,226,,3583.68,1088.74,sat,13.20,8.77,1.28,3.83,0.01,0.15,0.07,0.26,10.12,3.37,,6.67,0.49,0.16,0.65,0.46,0.00,0.46,0.20
chc-lia-0267.smt2,,,,,,6,6,,,,,12,,19,,7,38,,29,,,,,,,7,9,22,,,,,,,,,365.44,158.74,sat,1.12,0.35,0.16,,0.00,0.07,0.05,0.01,0.40,0.06,,0.33,0.02,0.00,0.00,0.00,,0.00,
chc-lia-0268.smt2,26,22,,6,1,11,11,,27,22,4,36,,39,,,353,,82,,4,,4,,,52,151,75,35,13,28,,,1,5,,694.24,263.77,unsat,4.86,3.62,0.68,2.04,0.00,0.09,0.07,0.05,3.93,1.61,,2.28,0.06,0.05,0.38,0.08,0.00,0.08,0.25
chc-lia-0269.smt2,,,17,19,1,23,23,,165,,191,104,37,559,,116,2934,26,508,,18,112,,,,450,1815,589,,87,,,,37,2285,9,2291.52,1155.90,sat,63.01,56.57,45.30,,0.06,0.05,0.04,0.28,60.28,7.65,,52.53,0.64,0.68,6.97,32.59,0.00,32.59,0.71
chc-lia-0270.smt2,,2,,,,4,4,,,,,5,,4,,,11,,11,,,,,,,6,1,11,4,,1,,,,,,397.52,165.78,unsat,1.67,0.56,0.17,0.18,0.00,0.07,0.05,0.03,0.65,0.08,,0.56,0.04,0.00,0.09,0.00,,0.00,0.05
chc-lia-0271.smt2,,2025,,102,2,105,104,,984,,379,209,,2825,229,1,9552,15,3908,,91,500,,,,1918,3549,21176,,3586,,105,,31,7725,,,333.77,timeout,593.46,468.91,255.89,42.35,0.84,0.09,0.07,11.27,548.91,35.85,,512.51,31.08,7.83,2.86,130.58,0.01,130.58,6.07
chc-lia-0272.smt2,20,15,,2,1,10,10,,10,10,,28,,35,,6,265,,73,,,,,,,58,122,72,10,,3,,,,53,,483.80,203.04,unsat,3.52,2.19,1.26,0.32,0.00,0.06,0.04,0.10,2.59,1.27,,1.29,0.22,0.03,0.05,0.10,0.00,0.10,0.08
chc-lia-0273.smt2,,589,,17,2,10,10,,48,,45,735,47,142,18,18,1639,4,921,,27,50,1,,,892,575,917,14,5,8,1,,,3211,5,4123.44,1587.27,unsat,477.56,447.91,28.37,358.68,0.02,0.15,0.11,7.48,469.55,27.45,,442.05,16.55,1.98,140.62,197.77,0.00,197.77,2.50
chc-lia-0274.smt2,,,2,,,4,4,,,,,14,,3,,8,30,,21,,,,,,,8,12,16,,,,,,,,,633.32,293.73,sat,2.92,1.43,0.32,0.60,0.00,0.12,0.10,0.01,1.47,0.36,,1.10,0.02,0.00,0.00,0.00,,0.00,
chc-lia-0275.smt2,,,,42,1,9,8,,67,,36,299,1,153,,50,2117,,473,,22,44,,,,431,1184,463,,8,,,,,513,1,,,,,16.40,5.10,7.09,0.01,0.16,0.11,0.33,17.84,3.99,,13.81,0.66,0.21,1.04,1.23,0.00,1.23,1.27
chc-lia-0276.smt2,,52,,1,,4,4,,2,,2,80,2,13,,,137,,98,,,,,,,91,46,98,4,,1,,,,,,1316.00,467.89,unsat,12.69,9.60,2.03,5.94,0.00,0.14,0.10,0.20,10.23,2.02,,8.19,0.49,0.01,1.34,0.01,,0.01,0.13
chc-lia-0277.smt2,,,1,,,3,3,,,,,30,,1,,17,33,,37,,,,,,,27,14,33,,,,,,,,,998.40,405.35,sat,9.43,6.48,0.02,5.31,0.00,0.14,0.11,0.02,6.54,2.25,,4.28,0.03,0.00,1.04,0.00,,0.00,
chc-lia-0278.smt2,,311,,37,2,66,65,,332,,125,379,,5510,291,107,9766,135,3705,,56,1062,,,,2059,2604,6573,,2343,,18,,142,28493,19,,980.75,timeout,596.97,533.94,441.89,20.13,0.38,0.25,0.16,4.11,577.00,18.70,,557.91,10.01,7.01,26.92,371.05,0.01,371.05,1.04
chc-lia-0279.smt2,,1575,,52,2,51,50,,682,,462,624,15,3435,189,162,13379,184,2517,,108,289,,,,1850,5967,2903,,1175,,142,,92,16714,14,,899.77,timeout,597.48,555.93,179.65,300.34,0.59,0.16,0.13,3.03,590.25,71.84,,518.14,5.96,8.53,12.18,363.10,0.00,363.10,14.13
