index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_concretize,SPACER_conj,SPACER_conj_failed,SPACER_conj_success,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_non_local_gen,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_reach_queries,SPACER_num_sync_cvx_cls,SPACER_pob_out_of_gas,SPACER_queries,SPACER_reuse_reach_facts,SPACER_subsume_failed,SPACER_subsume_pob,SPACER_subsume_success,max_memory,memory,result,time,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_global,time_spacer_solve_reach_gen_global_cvx_cls,time_spacer_solve_reach_is_reach
chc-lia-nonlin-0084.smt2,,,,,,,,2,,,4,4,,,8,,1,,6,17,,13,,,6,9,,,,9,,,,,46.44,18.85,sat,0.07,0.03,0.00,,0.00,0.01,0.00,0.00,0.04,0.01,,0.02,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0085.smt2,,79,,57,33,4,,14,12,1,15,15,,84,20,,45,25,34,489,1,153,,,66,347,1,,,126,1,65,50,,58.76,32.73,sat,0.68,0.32,0.13,,0.01,0.00,0.00,0.02,0.65,0.15,,0.43,0.05,0.06,0.03,0.08,0.00,0.01
chc-lia-nonlin-0086.smt2,,5008,,104,52,22,,99,97,1,100,100,,4734,104,,207,77,177,15681,146,2987,,,360,9536,,,2,2834,,2581,2466,,867.88,551.57,sat,129.50,113.45,52.06,,1.90,0.00,0.00,0.45,129.07,64.81,,63.80,2.78,2.80,0.67,4.68,0.00,0.04
chc-lia-nonlin-0087.smt2,,10767,,107,54,25,,,143,1,148,147,,10349,394,,276,77,34,34128,4,5984,,,503,20797,,,2,5760,,5412,5249,,456.59,415.40,timeout,596.62,536.06,250.13,,5.60,0.00,0.00,0.93,578.22,301.38,,276.16,7.54,8.07,1.84,12.88,0.01,0.04
chc-lia-nonlin-0088.smt2,,,,,,,,,,,1,1,,,5,,,,5,4,,6,,,5,4,,,,4,2,,,,23.72,8.49,sat,0.02,0.01,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0089.smt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.72,4.21,sat,0.00,,,,,0.00,,,,,,,,,,,,
chc-lia-nonlin-0090.smt2,,,,,,,,,,,1,1,,,3,,,,3,2,,4,,,3,2,,,,2,1,,,,20.32,8.11,sat,0.04,0.01,0.00,,,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0091.smt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,,,,,,,,,,,,,,,,,,,
chc-lia-nonlin-0092.smt2,,,,,,,,,,,1,1,,,2,,,,2,1,,3,,,2,1,,,,1,,,,,19.36,7.32,sat,0.03,0.01,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0093.smt2,,,,,,,1,2,,,2,2,,,7,,1,,6,16,2,10,,,8,12,1,,,7,24,,,,39.08,16.96,sat,0.09,0.04,0.01,0.00,0.00,0.00,0.00,0.01,0.06,0.01,0.00,0.04,0.01,0.00,0.01,0.00,,
chc-lia-nonlin-0094.smt2,,2907,,22,,16,2823,,79,1,87,86,,2852,309,4,3223,2941,89,15029,7,3492,,,284,6158,39,,5,3443,6616,37,2945,11,346.91,338.76,timeout,595.51,559.09,167.84,75.84,2.79,0.00,0.00,4.87,590.12,160.84,0.01,428.80,8.92,3.77,21.66,10.03,0.05,0.16
